Classifier,mean_pred_prob,fraction_pos,brier_score
Logistic Regression,0.0767,0.0488,0.1635
Logistic Regression,0.1533,0.0667,0.1635
Logistic Regression,0.2484,0.0798,0.1635
Logistic Regression,0.3476,0.1366,0.1635
Logistic Regression,0.4457,0.1825,0.1635
Logistic Regression,0.544,0.303,0.1635
Logistic Regression,0.6471,0.3731,0.1635
Logistic Regression,0.7374,0.36,0.1635
Logistic Regression,0.8366,0.5,0.1635
Random Forest,0.1894,0.0526,0.1578
Random Forest,0.2582,0.0696,0.1578
Random Forest,0.3443,0.1541,0.1578
Random Forest,0.4476,0.2386,0.1578
Random Forest,0.5386,0.3765,0.1578
Random Forest,0.6102,0.4,0.1578
Gradient Boosting,0.0638,0.0737,0.1225
Gradient Boosting,0.1403,0.2273,0.1225
Gradient Boosting,0.2423,0.2604,0.1225
Gradient Boosting,0.3461,0.3023,0.1225
Gradient Boosting,0.4352,0.3214,0.1225
Gradient Boosting,0.5494,0.5333,0.1225
Gradient Boosting,0.6529,0.4545,0.1225
Gradient Boosting,0.8523,0.6667,0.1225
